mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,48.0,94.0,0.511,13.0,29.0,0.448,20.0,23.0,0.87,14.0,37.0,51.0,26.0,7.0,10.0,15.0,20.0,129.0,,0.619,0.58,0.309,0.245,31.8,72.5,53.7,54.2,6.7,15.4,12.6,100.0,124.3,98.3,CHO,129,0,1,240.0,240.0,40.0,99.0,0.404,7.0,34.0,0.206,15.0,21.0,0.714,14.0,30.0,44.0,22.0,8.0,8.0,15.0,19.0,102.0,,0.471,0.439,0.343,0.212,27.5,68.2,46.3,55.0,7.7,12.3,12.2,100.0,98.3,124.3,SAS,102,1,2023,2022-10-19,True
240.0,240.0,38.0,77.0,0.494,10.0,28.0,0.357,19.0,23.0,0.826,6.0,32.0,38.0,25.0,5.0,5.0,17.0,21.0,105.0,,0.603,0.558,0.364,0.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,100.0,108.7,111.8,CLE,105,0,1,240.0,240.0,36.0,86.0,0.419,13.0,30.0,0.433,23.0,32.0,0.719,12.0,29.0,41.0,19.0,15.0,4.0,13.0,23.0,108.0,,0.54,0.494,0.349,0.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,100.0,111.8,108.7,TOR,108,1,2023,2022-10-19,False
240.0,240.0,42.0,92.0,0.457,11.0,31.0,0.355,19.0,24.0,0.792,14.0,39.0,53.0,21.0,5.0,10.0,16.0,19.0,114.0,,0.556,0.516,0.337,0.261,31.8,76.5,55.8,50.0,4.8,18.2,13.5,100.0,110.5,103.7,WAS,114,0,1,240.0,240.0,39.0,97.0,0.402,15.0,42.0,0.357,14.0,21.0,0.667,12.0,30.0,42.0,21.0,7.0,5.0,15.0,20.0,107.0,,0.504,0.479,0.433,0.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,100.0,103.7,110.5,IND,107,1,2023,2022-10-19,True
240.0,240.0,39.0,97.0,0.402,15.0,42.0,0.357,14.0,21.0,0.667,12.0,30.0,42.0,21.0,7.0,5.0,15.0,20.0,107.0,,0.504,0.479,0.433,0.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,100.0,103.7,110.5,IND,107,1,0,240.0,240.0,42.0,92.0,0.457,11.0,31.0,0.355,19.0,24.0,0.792,14.0,39.0,53.0,21.0,5.0,10.0,16.0,19.0,114.0,,0.556,0.516,0.337,0.261,31.8,76.5,55.8,50.0,4.8,18.2,13.5,100.0,110.5,103.7,WAS,114,0,2023,2022-10-19,False
240.0,240.0,38.0,99.0,0.384,14.0,45.0,0.311,18.0,22.0,0.818,16.0,41.0,57.0,22.0,6.0,6.0,13.0,26.0,108.0,,0.497,0.455,0.455,0.222,28.1,74.5,50.9,57.9,5.7,10.7,10.7,100.0,103.5,110.2,OKC,108,0,1,240.0,240.0,39.0,94.0,0.415,10.0,38.0,0.263,27.0,33.0,0.818,14.0,41.0,55.0,25.0,6.0,5.0,14.0,21.0,115.0,,0.53,0.468,0.404,0.351,25.5,71.9,49.1,64.1,5.7,9.3,11.4,100.0,110.2,103.5,MIN,115,1,2023,2022-10-19,False
240.0,240.0,39.0,94.0,0.415,10.0,38.0,0.263,27.0,33.0,0.818,14.0,41.0,55.0,25.0,6.0,5.0,14.0,21.0,115.0,,0.53,0.468,0.404,0.351,25.5,71.9,49.1,64.1,5.7,9.3,11.4,100.0,110.2,103.5,MIN,115,1,0,240.0,240.0,38.0,99.0,0.384,14.0,45.0,0.311,18.0,22.0,0.818,16.0,41.0,57.0,22.0,6.0,6.0,13.0,26.0,108.0,,0.497,0.455,0.455,0.222,28.1,74.5,50.9,57.9,5.7,10.7,10.7,100.0,103.5,110.2,OKC,108,0,2023,2022-10-19,True
240.0,240.0,39.0,88.0,0.443,11.0,28.0,0.393,26.0,33.0,0.788,11.0,33.0,44.0,20.0,11.0,2.0,11.0,17.0,115.0,,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.9,4.9,9.7,100.0,113.6,106.7,POR,115,0,1,240.0,240.0,39.0,85.0,0.459,17.0,44.0,0.386,13.0,19.0,0.684,4.0,37.0,41.0,27.0,8.0,5.0,15.0,25.0,108.0,,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,13.8,100.0,106.7,113.6,SAC,108,1,2023,2022-10-19,True
240.0,240.0,40.0,99.0,0.404,7.0,34.0,0.206,15.0,21.0,0.714,14.0,30.0,44.0,22.0,8.0,8.0,15.0,19.0,102.0,,0.471,0.439,0.343,0.212,27.5,68.2,46.3,55.0,7.7,12.3,12.2,100.0,98.3,124.3,SAS,102,1,0,240.0,240.0,48.0,94.0,0.511,13.0,29.0,0.448,20.0,23.0,0.87,14.0,37.0,51.0,26.0,7.0,10.0,15.0,20.0,129.0,,0.619,0.58,0.309,0.245,31.8,72.5,53.7,54.2,6.7,15.4,12.6,100.0,124.3,98.3,CHO,129,0,2023,2022-10-19,False
240.0,240.0,34.0,84.0,0.405,13.0,42.0,0.31,9.0,14.0,0.643,7.0,41.0,48.0,24.0,4.0,6.0,12.0,16.0,90.0,,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,11.7,100.0,97.3,95.1,MIL,90,0,1,240.0,240.0,36.0,83.0,0.434,5.0,24.0,0.208,11.0,13.0,0.846,6.0,38.0,44.0,17.0,6.0,5.0,10.0,14.0,88.0,,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.5,11.9,10.1,100.0,95.1,97.3,PHI,88,1,2023,2022-10-20,True
240.0,240.0,33.0,94.0,0.351,9.0,45.0,0.2,22.0,26.0,0.846,8.0,30.0,38.0,23.0,13.0,5.0,10.0,24.0,97.0,,0.46,0.399,0.479,0.277,14.3,75.0,39.6,69.7,12.5,9.8,8.7,100.0,93.3,99.1,LAL,97,1,0,240.0,240.0,37.0,80.0,0.463,9.0,29.0,0.31,20.0,31.0,0.645,10.0,48.0,58.0,18.0,7.0,7.0,22.0,24.0,103.0,,0.55,0.519,0.363,0.388,25.0,85.7,60.4,48.6,6.7,14.3,19.0,100.0,99.1,93.3,LAC,103,0,2023,2022-10-20,False
